围岩裂隙裂隙发育程度,煤层强度,底板强度,顶板强度,埋深,毛宽,锚杆支护面积,锚索密度,顶板位移
1.0,14.0,25.4,54.32,415,5.2,0.9,3.0,7.8
1.0,14.98,43.61,55.21,310,3.2,0.49,0.95,30.0
0.0,10.76,43.25,29.57,100,4.2,1.0,1.0,24.6
1.0,15.0,19.16,78.98,420,5.0,0.64,1.25,158.0
1.0,15.0,35.77,44.73,450,3.4,1.1,1.82,110.0
1.0,25.0,20.0,60.0,478,5.0,0.63,2.22,35.0
0.0,10.76,43.25,29.57,100,4.2,1.0,0.5,24.6
1.0,11.03,64.0,50.21,660,5.2,0.8,3.0,10.0
1.0,11.8,31.05,51.65,650,5.2,0.72,1.67,53.0
1.0,5.8,26.21,10.61,836,3.3,0.56,2.86,136.0
0.0,11.03,23.2,24.39,260,3.9,1.2,1.0,30.0
1.0,13.1,32.8,33.12,722,6.0,0.72,1.11,55.6
1.0,5.54,14.35,14.35,300,3.2,0.72,0.74,57.59
0.0,15.0,65.0,50.0,450,5.6,1.0,0.67,23.0
1.0,13.8,28.9,40.46,470,3.2,0.64,1.88,46.0
1.0,8.0,30.2,45.26,200,2.7,0.64,1.88,105.0
0.0,12.13,47.3,51.16,665,5.0,0.6,3.75,128.0
1.0,7.17,63.0,57.44,290,3.8,0.72,1.25,80.0
0.0,11.03,26.7,78.73,440,5.0,1.21,1.82,32.0
0.0,9.38,21.4,75.64,550,4.0,0.9,1.5,179.0
0.0,11.03,28.4,84.0,528,5.3,1.0,1.0,30.0
0.0,8.0,30.2,57.05,660,4.5,0.64,1.88,65.0
1.0,14.73,35.02,47.3,350,7.0,0.64,0.42,35.0
1.0,14.91,31.24,49.49,477,4.2,0.49,1.43,46.2
0.0,7.2,26.32,68.39,400,5.0,0.9,1.0,23.0
0.0,14.34,38.99,44.23,530,5.0,0.6,1.88,88.0
1.0,14.15,41.3,64.8,429,5.4,0.81,1.11,46.0
1.0,11.0,58.0,51.18,800,4.2,0.56,1.88,162.0
1.0,13.06,32.46,53.8,401,4.2,0.6,2.67,52.0
1.0,9.0,44.1,40.02,358,5.0,0.63,2.22,5.0
0.0,13.48,16.5,23.01,180,4.2,1.44,0.83,37.0
1.0,3.42,43.28,49.19,410,5.0,0.81,1.11,32.0
0.0,11.49,51.34,72.97,421,4.4,1.1,2.73,144.0
1.0,9.0,44.1,40.02,358,4.2,0.81,2.22,4.5
0.0,6.89,24.31,88.68,300,5.2,0.81,1.11,62.0
1.0,6.0,40.13,55.39,250,3.8,0.64,2.5,10.0
1.0,4.0,34.35,57.4,350,3.2,0.8,0.33,55.0
1.0,15.94,39.53,57.21,310,3.0,0.53,0.48,125.0
1.0,9.0,36.6,67.08,300,5.5,0.72,1.25,28.47
1.0,14.0,25.4,54.32,415,5.2,0.81,3.33,7.8
0.0,15.0,65.0,52.75,450,5.6,1.0,1.0,23.0
0.0,16.0,26.7,46.34,383,4.2,0.9,1.0,38.0
0.0,8.6,31.9,47.2,500,4.5,1.1,0.67,13.0
1.0,13.3,18.9,27.0,374,4.2,0.64,6.25,13.8
1.0,13.89,45.0,63.28,400,4.0,0.81,1.67,93.0
1.0,13.8,8.1,12.22,226,4.0,0.63,2.14,33.8
1.0,11.03,64.0,49.38,660,5.2,0.8,3.0,10.0
1.0,20.0,52.0,60.0,478,5.0,0.72,2.22,35.0
1.0,14.27,35.76,43.55,543,8.0,0.72,2.5,15.0
1.0,11.8,15.8,44.9,535,5.0,0.64,1.88,28.9
0.0,15.0,52.8,30.51,760,5.0,0.9,3.0,70.0
1.0,16.03,35.03,51.57,521,4.8,0.9,1.5,54.0
1.0,7.2,26.32,34.25,401,6.0,0.64,1.88,84.0
0.0,11.03,85.0,57.58,420,3.7,1.0,1.0,49.2
1.0,14.74,15.0,19.8,465,3.8,0.56,1.25,18.05
1.0,11.0,27.67,37.45,350,4.2,0.64,2.5,61.3
0.0,10.94,15.58,33.35,790,5.2,0.64,6.25,110.0
0.0,15.5,36.7,64.54,450,5.5,1.1,1.0,39.0
0.0,8.6,31.9,43.06,500,4.5,1.2,0.67,13.0
1.0,15.0,78.0,80.0,560,3.8,0.72,2.22,20.0
1.0,11.88,30.2,49.56,359,5.0,0.81,1.11,95.0
0.0,4.84,29.92,54.74,250,4.6,1.1,0.67,126.0
0.0,14.58,37.88,50.54,429,4.5,0.64,1.25,74.8
1.0,9.6,33.99,34.5,420,3.6,1.0,0.33,93.0
0.0,70.0,66.0,20.29,404,4.2,0.9,0.5,50.0
1.0,11.49,51.34,65.86,421,4.4,1.1,2.73,144.0
1.0,15.0,78.0,79.0,560,3.8,0.72,2.22,20.0
1.0,14.0,31.9,32.04,375,4.7,0.8,2.0,5.0
0.0,12.15,23.47,55.16,270,4.0,1.21,0.91,16.8
1.0,15.9,32.13,63.86,700,5.0,0.64,1.25,119.0
1.0,14.0,29.1,45.65,484,4.2,0.63,3.33,6.4
0.0,15.0,66.9,90.0,214,5.0,0.9,1.0,150.0
1.0,18.0,23.1,20.77,890,5.0,0.56,5.0,142.0
1.0,14.13,50.0,55.04,450,3.6,0.6,2.67,120.0
0.0,11.49,51.34,65.65,550,3.8,0.81,0.56,120.0
0.0,3.42,43.28,49.19,410,5.0,1.0,1.0,32.0
1.0,14.98,26.14,31.9,112,3.1,1.0,1.5,85.76
1.0,11.03,66.9,65.71,348,2.8,0.64,1.88,92.0
1.0,20.0,54.0,78.51,260,3.5,0.64,2.5,75.0
1.0,14.0,29.1,45.65,484,5.0,0.64,2.5,6.2
1.0,15.79,43.41,57.69,695,4.6,0.64,0.42,86.0
1.0,7.2,52.39,36.59,205,4.7,0.8,2.0,68.0
1.0,12.66,30.33,47.22,855,4.0,0.49,1.43,100.0
0.0,13.8,27.2,50.77,260,4.8,1.08,0.83,103.92
1.0,11.0,27.67,58.0,550,4.6,0.64,1.25,112.0
1.0,12.14,35.97,45.1,514,3.2,0.64,1.25,70.0
1.0,14.34,39.04,55.46,460,7.0,1.21,0.91,20.0
0.0,15.0,67.07,61.2,630,5.5,1.0,1.0,69.0
1.0,14.3,35.8,62.09,285,4.6,1.0,2.5,10.4
1.0,9.8,20.3,16.61,500,5.5,0.9,3.33,80.0
0.0,15.0,35.0,35.02,670,4.6,1.0,1.5,50.0
0.0,12.3,96.4,110.7,488,5.4,1.21,1.82,33.0
0.0,18.33,34.57,34.57,370,5.0,1.1,1.0,80.0
0.0,11.03,80.0,68.99,480,5.0,1.1,1.0,14.0
0.0,15.0,66.9,87.95,214,5.0,0.9,1.0,150.0
1.0,11.03,26.7,53.38,468,6.0,0.64,1.88,70.0
0.0,15.5,35.24,59.32,450,5.5,1.2,1.0,39.0
0.0,21.0,15.6,22.57,572,5.5,0.72,2.22,125.0
1.0,8.1,20.6,34.88,215,4.8,0.9,2.0,2.7
0.0,70.0,66.0,20.29,407,4.2,0.81,0.56,50.0
0.0,15.0,35.0,44.34,670,4.6,1.0,1.5,50.0
1.0,11.03,26.7,42.71,540,5.0,0.72,3.33,68.0
0.0,18.0,60.0,66.73,460,4.5,1.44,0.83,45.0
1.0,9.0,13.5,40.24,358,5.2,0.72,1.25,11.5
0.0,15.81,30.46,39.67,440,5.5,0.64,0.83,124.3
0.0,11.03,26.7,77.99,440,5.0,1.32,0.83,32.0
1.0,14.0,27.6,26.03,396,4.7,0.8,2.0,49.0
1.0,14.0,29.1,45.65,484,5.0,0.72,3.33,6.4
0.0,11.03,112.8,68.99,480,5.0,1.1,1.0,14.0
1.0,14.0,32.9,43.53,321,3.9,0.72,2.22,5.0
0.0,12.89,41.16,55.44,387,3.5,0.49,1.43,42.0
0.0,7.44,42.1,62.97,50,4.2,1.0,1.0,95.0
0.0,8.5,64.0,57.12,380,2.6,0.72,1.25,52.0
1.0,13.2,23.7,51.69,400,5.2,0.64,5.0,10.3
0.0,11.5,31.5,31.04,400,4.2,0.81,1.11,70.0
0.0,11.0,27.67,32.0,350,4.2,0.64,2.5,61.3
1.0,11.5,31.5,31.04,400,4.2,0.81,1.11,70.0
1.0,18.0,50.0,47.23,310,2.7,0.49,0.71,66.0
1.0,18.0,50.0,47.23,310,2.7,0.49,1.43,66.0
0.0,20.0,35.0,59.24,452,4.0,0.72,2.5,97.62
1.0,23.6,51.4,46.8,145,4.0,0.63,1.67,66.0
0.0,17.0,57.0,68.93,460,4.5,1.44,0.83,57.0
0.0,8.5,46.0,15.0,320,3.6,0.64,1.25,120.0
1.0,20.0,35.0,59.24,452,4.0,0.64,2.5,97.62
1.0,14.3,35.8,62.09,285,4.8,1.1,2.5,10.4
0.0,11.03,26.7,48.86,420,5.2,1.44,1.67,47.0
0.0,4.84,29.92,61.93,250,4.6,1.1,0.67,126.0
1.0,18.0,50.0,47.23,310,4.1,0.49,1.43,86.0
1.0,9.0,15.3,37.08,474,4.7,0.8,2.0,6.3
0.0,11.03,26.7,48.86,420,5.2,1.44,1.67,47.0
0.0,7.2,52.39,32.31,205,4.7,0.9,2.0,68.0
1.0,10.1,14.69,30.51,600,5.0,0.81,1.67,56.0
1.0,14.0,31.9,31.87,375,5.0,0.9,2.0,15.0
1.0,18.5,28.0,32.62,400,6.0,0.9,0.74,92.0
1.0,8.04,22.17,44.64,540,5.6,1.0,1.5,49.5
1.0,11.03,26.7,36.42,550,5.2,0.81,1.11,80.0
1.0,10.3,15.0,76.1,850,5.0,0.72,2.5,150.0
1.0,13.53,32.29,48.64,450,4.0,0.64,0.63,102.0
0.0,11.03,26.7,71.52,528,5.3,1.0,1.0,30.0
1.0,7.3,13.4,24.98,276,4.5,0.81,3.33,7.1
1.0,10.65,38.86,52.63,200,3.3,0.72,1.25,90.89
1.0,9.0,13.5,40.24,358,5.2,0.72,2.5,11.6
1.0,9.0,15.3,37.08,474,5.2,0.81,3.33,6.5
1.0,9.0,13.5,40.24,358,5.2,0.72,3.33,11.6
1.0,14.0,33.5,46.19,289,4.2,0.81,3.33,5.8
0.0,15.5,47.4,64.72,400,3.5,1.1,1.82,92.0
1.0,10.3,15.0,70.66,850,5.0,0.72,2.5,150.0
0.0,15.0,17.52,90.0,180,5.0,0.9,2.0,95.0
1.0,9.0,18.2,37.52,358,5.0,0.64,2.5,4.2
0.0,18.13,34.5,49.24,572,5.5,0.72,2.22,94.0
1.0,12.58,39.68,56.66,100,3.2,0.6,0.83,59.0
1.0,11.83,32.49,57.57,600,7.5,0.56,0.83,70.0
1.0,9.0,18.2,37.52,358,4.7,0.72,3.33,4.2
1.0,8.2,12.7,24.25,278,4.8,0.81,3.33,7.2
1.0,13.8,27.2,59.36,500,5.4,0.72,1.11,50.0
1.0,14.0,33.5,46.19,289,4.2,0.81,3.75,5.8
1.0,1.8,35.8,95.34,550,2.8,0.49,0.95,113.33
1.0,14.0,25.4,54.32,415,5.2,0.72,3.33,7.8
0.0,3.98,26.11,25.77,100,4.0,1.1,1.0,76.0
1.0,11.03,112.8,77.7,480,5.0,0.64,5.0,75.0
0.0,10.0,31.5,51.8,250,5.5,1.0,1.0,80.0
1.0,11.03,80.0,77.7,480,5.0,0.64,5.0,75.0
1.0,11.58,36.25,59.74,600,5.8,1.0,1.5,75.86
1.0,14.0,17.1,45.88,394,4.7,0.72,2.22,10.0
1.0,8.2,12.7,24.25,278,4.8,0.72,3.33,7.2
1.0,15.0,17.52,112.29,180,5.0,0.9,2.0,95.0
1.0,15.9,47.3,34.34,100,3.7,1.44,0.42,91.0
1.0,9.0,16.8,38.06,321,4.7,0.64,2.5,4.2
1.0,14.0,17.1,45.88,394,3.9,0.72,2.22,9.0
1.0,14.0,33.5,46.19,289,4.2,0.81,2.22,5.7
0.0,16.0,85.0,86.11,550,3.5,0.8,1.0,90.0
1.0,6.0,25.0,39.86,495,5.0,0.64,5.0,33.0
1.0,10.0,31.5,51.8,250,5.5,1.0,1.0,80.0
1.0,14.0,32.9,43.53,321,4.7,0.72,2.22,5.6
1.0,14.0,33.5,46.19,289,4.2,0.81,2.22,5.7
0.0,3.98,26.11,24.83,100,4.0,1.1,1.0,76.0
